Citizen_ID,Age,Gender,Modeof_Transport,WorkHours,Shopping_Hours,Energy_kWh,Charging_Station_Usage,CO2_kg,Daily_Steps,Calories_Burned,Sleep_Hours,Entertainment_Hours,SocialMedia_Hours, PublicEvents_Hours ,Total_Activity_Hours,Total_Health_Hours,Fitness_Index,Fiteness_Index1_Scale,Age_Based_Fitness
1445,19,Female,Walking,1,2,7,0,16.47,18922,1150,6.4,0,3.2,2.2,11.55,9.55,16.96,5,Need Improvements
1551,19,Female,Bike,9,2,9.74,1,85.83,3978,393,8,3,1.6,1.1,17.36,8.66,22.62,7,Good
1579,19,Female,EV,5,1,2.55,0,93.57,2550,239,8.5,1,0.5,1.6,9.53,8.93,12.97,3,Need Improvements
1689,19,Other,Bicycle,1,4,4.52,0,33.55,14465,870,8.2,2,3,2.4,14.81,10.61,20.54,6,Good
1800,19,Male,Car,5,0,6.87,1,65.05,19044,1354,7,1,2.2,1,12.37,10.17,18.43,5,Need Improvements
1878,19,Male,Bicycle,0,1,2.17,0,54.35,12803,1123,6.6,2,1.9,2.1,9.13,8.73,14.03,4,Need Improvements
1914,19,Female,Car,4,1,6.08,0,61.61,18572,1040,5.6,3,4.3,1.7,17.1,8.7,23.29,7,Good
1986,19,Male,Walking,5,1,9.73,1,72.16,15238,1194,5.2,2,1.1,1.1,12.74,7.74,18.33,5,Need Improvements
1017,20,Female,Walking,4,2,5.8,0,89.35,3176,507,9,2,0.1,2,10.63,9.53,14.89,4,Need Improvements
1041,20,Male,Public Transport,8,2,7.54,0,65.39,7806,848,5.3,1,2.6,2.5,17.4,6.6,23.24,7,Good
1144,20,Female,EV,0,4,9.98,0,95.97,5180,492,10,1,3.9,0.5,10.26,10.86,14.55,4,Need Improvements
1199,20,Female,Walking,2,3,3.99,0,19.17,6397,582,5.1,0,1.3,2.9,10.27,6.17,14.12,4,Need Improvements
1223,20,Female,EV,1,1,8.01,0,17.69,8192,808,8.1,3,0.1,2.7,9.17,9.47,13.63,3,Need Improvements
1262,20,Female,Walking,3,4,9.69,0,32.79,4094,531,7.2,3,2.4,0.7,13.78,7.88,18.5,5,Need Improvements
1267,20,Male,Bicycle,7,1,9.54,1,87.8,13047,958,4.2,1,1.4,0.6,13.17,6.37,18.25,5,Need Improvements
1308,20,Female,EV,3,3,5.35,0,48.49,17537,1220,4,2,5.4,0.8,17.12,6.92,23.49,7,Good
1344,20,Female,Bicycle,6,4,9.91,0,35.82,12750,812,7.2,0,5,1,18.13,9.33,24.27,7,Good
1396,20,Female,Walking,5,2,8.83,1,14.69,1419,195,8.7,0,4.8,0.3,12.34,8.94,16.28,4,Need Improvements
1401,20,Male,Bike,2,3,9.27,0,31.2,17165,982,8.6,3,0,0.9,11.76,11.46,17.15,5,Need Improvements
1506,20,Male,Bike,9,2,7.9,1,14.36,8423,713,8.2,3,3.4,2.4,21.2,9.6,27.9,8,Excellent
1567,20,Male,EV,8,3,7.31,1,94.13,4030,639,4.7,0,5,0.5,17.17,5.37,22.47,6,Good
1717,20,Male,EV,2,2,2.8,0,70.42,16580,1019,6.8,2,0.7,0.2,9.66,9.56,14.48,4,Need Improvements
1728,20,Female,EV,4,1,8.13,1,33.83,4185,685,5.8,3,1.8,0.4,10.9,6.5,15.17,4,Need Improvements
1758,20,Female,Car,0,3,2.28,1,77.48,10990,952,6.2,3,3.1,2.7,13.63,8.03,19.04,5,Need Improvements
1834,20,Female,EV,0,3,5.8,0,83.12,8960,921,6.4,1,3,2.8,11.29,7.89,16.19,4,Need Improvements
1862,20,Male,Public Transport,2,3,4.66,0,18.51,11147,726,4.3,3,0.7,2.1,12.66,6.16,17.18,5,Need Improvements
1932,20,Male,Car,6,2,4.06,1,52.37,5846,437,8.7,3,3.4,1.9,17.27,9.67,22.69,7,Good
1934,20,Male,Car,2,3,7.54,1,94.66,17276,1047,4.7,3,4.6,0.8,16.28,7.58,22.22,6,Good
1992,20,Female,EV,3,2,5.55,0,97.36,8494,909,7.4,2,3,1.4,12.82,8.82,18.12,5,Need Improvements
1049,21,Female,Walking,3,3,7.4,0,83.03,5695,640,8.6,0,4.8,0.1,11.85,9.55,16.57,4,Need Improvements
1069,21,Male,Public Transport,1,2,3.68,0,27.54,2446,564,5.6,2,4.5,2.8,12.71,6.01,17.08,5,Need Improvements
1073,21,Male,Public Transport,8,2,8.24,0,48.19,15021,908,8.1,0,2.4,1,15.9,10.6,21.91,6,Good
1163,21,Female,Walking,4,2,9.81,1,43.34,15599,976,9.6,3,4.5,0.9,17,12.2,23.55,7,Good
1244,21,Male,Walking,3,1,7.76,0,36.66,11383,791,9,2,5.1,2.3,15.3,10.9,21.06,6,Good
1336,21,Female,Car,2,1,5.55,1,60.21,4235,474,4.1,1,1.6,1.5,7.81,4.81,10.83,2,Need Improvements
1371,21,Female,EV,5,3,9.01,0,94.48,2211,334,9.9,0,3.5,1.3,13.17,10.27,17.71,5,Need Improvements
1466,21,Other,Bicycle,7,4,5.75,0,28.53,6947,448,7.8,3,5.8,1.7,22.66,8.96,29.06,9,Excellent
1547,21,Female,Walking,8,1,4.34,0,95.83,5578,523,5.7,0,1.7,0.8,12.43,6.63,16.67,4,Need Improvements
1595,21,Female,Car,1,3,3.32,1,32.54,14378,861,7.7,1,4.7,2.1,14.2,10.1,19.72,6,Good
1705,21,Male,Bike,8,2,4.54,0,91.67,3550,562,9.2,2,4,2.5,19.09,9.79,25.18,7,Good
1850,21,Male,Walking,0,1,6.1,0,17.13,7461,550,9.9,3,4.5,2.8,12.54,11.14,17.39,5,Need Improvements
1904,21,Female,Walking,1,4,6.64,0,95.4,6435,590,4.1,2,3.2,2.1,13.37,5.17,17.74,5,Need Improvements
1928,21,Male,Bicycle,0,3,3.29,1,54.04,18107,1286,7.6,2,5.8,3,16.82,10.62,23.7,7,Good
1930,21,Male,EV,5,0,6.3,0,34.1,10327,661,4.3,2,4.8,2.2,15.72,6.02,20.72,6,Good
1118,22,Male,Bike,0,2,4.45,1,10.82,6206,481,7.2,3,3.5,0.2,9.73,8.23,13.54,3,Need Improvements
1146,22,Female,Walking,0,1,4.3,1,39.12,3515,662,5.8,2,5.3,2.2,11.09,6.39,15.35,4,Need Improvements
1249,22,Female,Bicycle,8,0,8.64,0,90.42,8938,550,7.8,0,2.9,0.7,13.09,9.29,17.78,5,Need Improvements
1299,22,Male,Bike,8,2,6.1,0,87.13,14518,968,7.1,3,2.6,3,21.02,9.52,28.05,8,Excellent
1368,22,Female,Car,3,1,4.33,0,38.43,3768,560,5.3,2,4.3,2,12.93,5.93,17.3,5,Need Improvements
1464,22,Male,Car,8,2,8.59,0,33.9,16257,1299,7.7,2,4.8,0.4,19.91,10.41,27.45,8,Excellent
1503,22,Female,Bicycle,7,1,8.08,0,65.38,16982,1199,4.3,2,0.3,2.7,15.83,7.13,21.93,6,Good
1516,22,Female,Public Transport,4,4,4.74,0,18.42,2391,484,5.3,1,1.6,2.3,13.3,5.7,17.59,5,Need Improvements
1522,22,Female,Car,6,2,6.55,0,78.97,18273,1117,7.7,2,4.5,1.8,19.35,10.75,26.41,8,Excellent
1536,22,Other,EV,8,4,2.41,0,52.64,4367,344,6.3,3,5.6,0.4,21.73,7.03,27.55,8,Excellent
1545,22,Other,Walking,7,3,6.37,0,57.82,14015,1058,8.8,3,0,2.5,17.84,11.14,24.62,7,Good
1652,22,Male,EV,9,4,4.69,0,54.78,19073,1091,5.7,3,4.3,1,24.48,8.88,32.27,10,Excellent
1667,22,Male,EV,9,1,8.7,0,48.95,3268,462,4.9,2,2.8,2.2,17.54,5.44,22.59,7,Good
1690,22,Male,Bicycle,3,0,2.85,0,16.03,5087,470,4.9,1,0.1,2.3,7.25,5.75,10.25,2,Need Improvements
1797,22,Female,EV,3,0,4.61,0,34.05,1770,552,7,2,0.3,3,8.6,7.3,12.29,3,Need Improvements
1805,22,Other,Bicycle,0,1,4.4,1,95.15,1331,474,4.8,1,4,0.6,6.82,5.02,9.73,2,Need Improvements
1830,22,Male,Bike,1,1,6.66,0,14.24,8441,783,6.6,2,5.1,2.4,12.91,8.01,17.88,5,Need Improvements
1832,22,Male,Walking,6,0,8.91,1,87.65,14350,919,7.1,0,4.7,2.6,15.69,9.49,21.56,6,Good
1867,22,Male,Bike,6,3,3.43,1,22.64,5276,416,5.6,1,4.6,2.9,18.38,6.48,23.59,7,Good
1902,22,Female,Bike,2,4,9.67,0,68.94,15345,871,5.5,2,1,0.5,12.06,8.06,16.9,5,Need Improvements
1911,22,Female,Bike,0,0,2.66,1,29.31,15415,906,8.6,2,3.8,0.7,9.07,11.17,13.77,3,Need Improvements
1942,22,Female,Walking,8,1,9.82,0,95.12,8641,864,4.5,0,4.1,0.1,14.64,5.94,19.86,6,Good
1950,22,Male,Car,4,2,9.92,0,43.59,14491,1026,9.7,1,1.7,2.4,13.52,12.12,19.48,5,Need Improvements
1071,23,Male,Public Transport,5,2,2.2,0,95.55,12036,1011,8.2,0,2.8,2.7,14.51,10.21,20.45,6,Good
1182,23,Male,Car,5,1,3.86,0,32.68,5261,554,9.1,1,3.7,2.3,13.88,9.98,18.9,5,Need Improvements
1201,23,Female,Public Transport,3,4,8.47,1,27.97,17840,1159,9.6,1,2,1.2,14.17,12.57,20.53,6,Good
1242,23,Female,Bicycle,6,4,6.39,1,38.85,4983,374,7,1,5.3,0.5,17.63,7.83,22.78,7,Good
1252,23,Male,Bicycle,0,0,8.71,1,77,4563,535,5.3,2,2.2,2.3,7.26,6.06,10.45,2,Need Improvements
1259,23,Female,Bike,2,2,5.26,1,21.85,4629,358,5.3,1,3.1,1.5,10.37,6.07,13.82,4,Need Improvements
1380,23,Female,Walking,1,0,4.56,1,35.7,14882,912,9,0,5.9,0.7,10.08,11.48,15.05,4,Need Improvements
1456,23,Female,Bike,5,4,3.06,0,17.46,2198,581,4.7,1,3.6,1.1,15.07,5.07,19.83,6,Good
1467,23,Female,Car,6,1,8.41,0,38.95,10617,824,9.2,2,3.3,0.2,14.27,10.97,19.92,6,Good
1707,23,Female,Public Transport,9,1,2.45,0,58.06,19057,1223,6.4,1,1.5,2.5,18.18,9.58,25.06,7,Good
1735,23,Other,Car,3,2,4.48,0,79.3,14767,860,8.8,1,1,0.4,9.86,11.26,14.65,4,Need Improvements
1794,23,Female,Public Transport,2,2,3.45,0,81.52,7474,588,6.4,2,0.8,2.9,10.95,7.65,15.11,4,Need Improvements
1827,23,Male,Car,0,0,6.02,0,20.78,13175,978,9.1,2,3.6,1.2,9,11.3,13.89,4,Need Improvements
1913,23,Male,EV,0,1,5.52,0,27.02,14858,1183,7,1,4.3,2.3,11.08,9.48,16.53,4,Need Improvements
1948,23,Female,Public Transport,5,4,7.56,0,86.46,5858,641,8.4,1,0.6,2.9,14.48,9.38,19.7,6,Good
1044,24,Female,Bike,0,2,6.39,1,41.26,8338,705,7.3,1,2.8,2.9,10.09,8.69,14.43,4,Need Improvements
1059,24,Male,Public Transport,9,2,7.35,0,74.26,17312,1134,9.7,0,0,2.8,16.69,12.59,23.5,7,Good
1104,24,Male,Walking,8,4,2.18,0,24.01,5019,406,4.7,1,0.3,3,17.14,5.54,21.96,6,Good
1123,24,Female,Car,4,4,2.65,0,51.39,3888,565,6.2,1,3.5,0.3,13.45,6.85,18.04,5,Need Improvements
1175,24,Other,Bike,5,3,6.6,0,50.86,2054,341,8.2,3,5.5,0.2,17.04,8.54,22.16,6,Good
1271,24,Female,Bike,4,0,3.11,0,43.54,17080,998,7.3,2,3.3,1.1,13.25,10.15,18.8,5,Need Improvements
1289,24,Male,EV,1,2,5.32,1,51.34,1253,544,6.9,0,0.5,1.9,5.61,7.11,8.68,2,Need Improvements
1343,24,Female,Bike,4,0,5.69,0,99.93,15439,1248,5.6,1,0.6,1,9.17,8.17,14.2,4,Need Improvements
1430,24,Female,Public Transport,3,2,5.14,0,27.43,13997,941,6.2,3,0.9,1.5,12.73,8.53,17.94,5,Need Improvements
1594,24,Male,Public Transport,0,0,5.44,0,28.74,3083,361,6.8,2,3.6,1.4,7.51,7.31,10.59,2,Need Improvements
1644,24,Female,Bike,0,4,4.78,1,91.97,5931,790,9,0,1.3,2.6,8.89,9.99,13.37,3,Need Improvements
1681,24,Female,Bike,3,0,8.75,0,85.2,12953,832,4.4,0,1,0.7,6.86,6.56,10.44,2,Need Improvements
1702,24,Female,Public Transport,6,0,5.86,1,15.92,3722,572,4.1,1,5.8,2.8,16.22,4.72,21.12,6,Good
1991,24,Male,Car,8,3,9.73,0,70.27,4428,396,9.8,3,1.8,1.4,17.94,10.54,23.54,7,Good
1006,25,Male,Walking,0,1,9.65,0,51.87,14817,1104,5.2,3,0.1,1.3,7.87,7.67,12.3,3,Need Improvements
1061,25,Male,Bike,8,1,5.35,0,56.54,8309,596,8.8,1,4.4,0.5,16.28,10.18,21.83,6,Good
1085,25,Female,Bike,8,3,6.79,0,28.11,4770,673,6.8,1,0.5,2.4,15.7,7.6,21.03,6,Good
1109,25,Male,Car,2,1,8.48,0,16,10697,852,9.5,2,0.2,1.4,8.38,11.28,12.95,3,Need Improvements
1114,25,Female,Walking,9,2,3.45,0,85.75,4574,695,5.8,2,5.8,0.1,19.66,6.56,25.71,8,Excellent
1125,25,Male,Public Transport,3,0,3.37,0,26.96,5091,469,4.2,3,1.6,1.5,9.95,5.05,13.4,3,Need Improvements
1202,25,Male,Bike,2,0,9,0,43.41,6914,665,8.8,3,3.2,1.9,11.25,9.95,15.93,4,Need Improvements
1316,25,Female,Bike,5,0,2.54,0,30.12,8399,908,7.2,0,1.7,1.3,9.4,8.6,14,4,Need Improvements
1342,25,Male,Bike,6,2,8.22,0,61.51,18165,1207,5.1,0,4.5,2.9,18.43,8.13,25.16,7,Good
1358,25,Female,Walking,6,1,8.55,1,24.83,14435,1211,6,0,4.3,1,14.71,8.41,20.82,6,Good
1435,25,Male,EV,2,2,9.85,0,30.41,17814,1266,6.1,3,2.4,2.8,15.17,9.07,21.5,6,Good
1461,25,Male,Bike,3,1,6.81,1,27.36,9209,779,8.8,0,2.7,0.3,8.53,10.33,12.9,3,Need Improvements
1586,25,Male,Public Transport,0,0,5.79,0,26.81,1234,220,5.8,3,0.2,2.1,5.51,6.01,7.77,1,Need Improvements
1695,25,Female,EV,0,1,9.76,1,74.83,14292,978,9.5,1,3.4,2.8,10.58,11.88,15.84,4,Need Improvements
1724,25,Female,Bike,6,1,9.46,1,21.37,3970,368,10,0,2.9,1.4,11.96,10.66,16.34,4,Need Improvements
1766,25,Male,Bicycle,8,3,8.64,0,46.86,4146,678,7.1,2,1.5,2.7,17.89,7.79,23.71,7,Good
1771,25,Female,Public Transport,4,1,7.41,1,63.33,4937,422,4.8,3,2.6,0.5,11.92,5.62,15.75,4,Need Improvements
1775,25,Male,Car,6,1,4.66,0,60.39,15377,914,6,2,3.6,0.2,15.36,8.56,21.01,6,Good
1858,25,Male,Walking,1,0,8.24,0,12.11,19563,1237,7.9,3,4.4,2.6,14.26,11.16,20.57,6,Good
1927,25,Female,Car,3,2,2.73,0,72.45,6935,695,8.3,3,0.4,1.4,10.96,9.46,15.57,4,Need Improvements
1973,25,Male,EV,5,4,6.57,0,35.76,19099,1313,8.7,0,2.4,0.8,15.38,11.88,22.17,6,Good
1046,26,Male,Bike,1,0,6.16,0,71.75,13500,1116,6.4,3,5.6,0.8,12.65,8.65,18.21,5,Need Improvements
1053,26,Female,Public Transport,4,3,9.59,1,94.06,15318,1107,5.3,0,4.8,1.2,15.55,7.85,21.54,6,Good
1105,26,Male,Car,4,3,8.89,1,30.31,13419,987,8.6,3,4.6,0.3,17.14,10.84,23.61,7,Good
1124,26,Female,Bicycle,6,4,2.7,0,64.63,3690,454,4.8,2,1.2,2.1,15.92,5.42,20.61,6,Good
1151,26,Female,Car,2,3,4.05,0,72.73,5370,765,6.1,3,2,1.3,12.2,7,16.93,5,Need Improvements
1204,26,Female,Public Transport,2,0,8.87,0,75.29,12179,898,7,2,3.8,2.7,12.53,9.03,17.71,5,Need Improvements
1258,26,Male,Public Transport,6,2,2.9,0,15.69,19657,1113,6,1,2.5,0,14.78,9.28,20.71,6,Good
1302,26,Female,Walking,4,0,9.97,0,49.4,11286,836,8.2,2,3.9,0.8,12.58,10.08,17.79,5,Need Improvements
1418,26,Female,Car,0,4,3.25,0,92.67,12704,1020,9.9,3,2.5,2.1,13.72,12.02,19.74,6,Good
1489,26,Female,Bike,5,1,9.41,0,33.63,12695,838,7.8,0,5.7,1.3,15.12,9.92,20.79,6,Good
1606,26,Female,Car,2,0,5.48,1,83.51,18285,1122,9.8,1,4.8,0,10.85,12.85,16.49,4,Need Improvements
1643,26,Male,Car,6,4,6.47,1,90.97,10638,673,6.7,0,3,0.4,15.17,8.47,20.39,6,Good
1676,26,Female,Walking,8,3,2.42,1,93.09,18502,1132,6.4,1,2.3,1.5,18.88,9.48,25.72,8,Excellent
1686,26,Male,Bicycle,6,4,6.62,1,28.13,15547,1240,6.7,3,3.4,2.9,21.89,9.29,29.59,9,Excellent
1784,26,Female,Walking,5,2,4.26,0,95.26,13150,900,4.1,3,1.9,1.3,15.39,6.29,20.78,6,Good
1844,26,Male,Bicycle,5,0,9.02,0,50,13380,1069,9.6,1,3.1,2.7,14.03,11.83,20.17,6,Good
1961,26,Male,Walking,9,4,6.61,1,57.46,11298,1008,7.9,3,1.2,1.8,20.88,9.78,28.06,8,Excellent
1079,27,Male,Public Transport,1,0,7.88,0,96.94,18248,1083,7.7,3,5.7,1.2,13.94,10.74,19.86,6,Good
1535,27,Female,Bicycle,2,1,5.16,0,77.75,9232,700,6.7,0,4.9,0.3,9.74,8.24,13.92,4,Need Improvements
1541,27,Female,Bike,7,3,4.86,0,58.67,5261,747,7.6,2,1.5,2.1,16.48,8.48,22.22,6,Good
1571,27,Female,Walking,2,3,7.82,0,48.65,19268,1173,7.9,2,5.5,1.2,16.91,11.11,23.63,7,Good
1589,27,Male,Bike,3,3,8.96,0,41.56,15150,1005,9,2,4.3,0.4,15.23,11.53,21.41,6,Good
1604,27,Male,Walking,1,2,8.86,0,77.29,7852,635,7.5,2,0.4,1.5,8.21,8.81,12.06,3,Need Improvements
1677,27,Female,EV,6,0,8.67,0,72.04,8637,695,6,1,5.4,0.1,13.94,7.44,18.87,5,Need Improvements
1713,27,Other,Bicycle,8,0,4.75,0,39.21,7026,602,5,0,5.5,1.2,15.87,6.17,20.87,6,Good
1763,27,Female,Bike,6,3,6.31,0,28.95,5857,739,7.5,2,0.4,2.9,15.28,8.48,20.75,6,Good
1801,27,Male,Walking,4,4,5.56,0,60.92,17059,1343,9.8,1,5,1.1,17.94,12.64,25.44,7,Good
1838,27,Male,Public Transport,8,4,2.67,0,91.36,14828,854,7.1,3,4.5,0.9,22.87,9.57,30.04,9,Excellent
1839,27,Male,Bicycle,0,3,8.9,0,38.86,5541,509,9,1,0.5,3,8.42,9.92,12.25,3,Need Improvements
1905,27,Female,Bicycle,3,0,4.26,0,32.14,6392,692,5.6,2,4.7,2.9,13.67,6.67,18.48,5,Need Improvements
1907,27,Female,Walking,0,2,5.24,0,53.41,18617,1150,4.2,2,2.1,2.3,11.5,7.3,16.63,4,Need Improvements
1011,28,Female,Walking,0,0,3.9,1,95.28,13878,926,4.9,3,1.6,1.6,8.51,7.21,12.68,3,Need Improvements
1012,28,Female,Bike,9,4,2.78,0,79.02,16120,1019,9.8,1,5.7,0.2,22.59,12.49,30.37,9,Excellent
1111,28,Male,Walking,8,4,8,0,12.23,2184,426,8.6,1,2.5,1.6,17.46,8.96,22.88,7,Good
1189,28,Female,Public Transport,2,1,8.01,0,57.1,11559,1041,9.2,3,5.9,0.6,14.43,11.13,20.54,6,Good
1245,28,Male,EV,5,3,6.09,0,61.51,18040,1187,8.7,3,2.9,2.4,19.31,11.71,26.63,8,Excellent
1254,28,Male,EV,4,3,7.58,1,21.73,12292,918,5.4,3,0.8,2.9,15.75,7.45,21.41,6,Good
1280,28,Male,Public Transport,4,4,9.04,0,76.68,19055,1187,6.8,2,2,1,16.18,9.98,22.64,7,Good
1314,28,Female,EV,1,1,3.34,1,82.65,6607,765,8.7,1,4.2,2.8,11.1,9.8,15.94,4,Need Improvements
1598,28,Male,Car,9,4,7.08,0,27.24,18140,1168,9.9,1,3.2,1.5,21.72,12.92,29.64,9,Excellent
1672,28,Female,Public Transport,6,2,2.5,0,65.67,18801,1305,4.9,0,3.9,2.8,17.83,8.03,24.62,7,Good
1744,28,Female,Bicycle,4,0,3.81,1,62.29,16678,1257,5.9,3,5.9,0.9,16.58,8.68,23.15,7,Good
1761,28,Male,EV,7,0,9.08,0,99.25,17528,996,4.3,3,3.9,0.9,17.72,7.22,23.8,7,Good
1812,28,Female,Walking,9,2,9.07,1,19.9,9419,729,8.4,1,5.7,0.4,19.67,9.97,26.11,8,Excellent
1879,28,Male,Walking,4,3,8.2,1,24.46,8953,878,4.3,3,2.2,2.1,15.79,5.79,21.24,6,Good
1919,28,Male,Bicycle,0,1,9.73,0,41.71,18855,1087,10,2,4.9,0.6,11.64,13.14,17.4,5,Need Improvements
1925,28,Male,Car,1,3,8.49,0,94.96,16439,1014,4.1,3,5.8,0.6,16.14,6.84,21.91,6,Good
1027,29,Female,Public Transport,6,2,3.8,0,75.06,17984,1086,8.4,0,5.9,0.9,17.8,11.4,24.58,7,Good
1126,29,Male,Public Transport,4,1,6.14,0,82.45,14960,1176,5.7,3,3,0.6,14.09,8.19,19.98,6,Good
1220,29,Male,EV,5,4,9.62,0,40.42,12708,1119,9.4,1,5.2,2.7,20.02,11.52,27.43,8,Excellent
1298,29,Female,Public Transport,3,2,8.02,1,84.14,11532,772,9.3,3,5.1,2.3,17.32,11.22,23.49,7,Good
1348,29,Male,Car,4,1,3.99,0,35.67,12986,993,9.3,2,4.8,1.7,15.66,11.46,21.95,6,Good
1439,29,Other,Walking,0,4,7.02,0,11.75,2234,225,6.3,2,5,2.4,13.77,6.67,17.76,5,Need Improvements
1490,29,Female,Bike,7,0,3.29,0,14.71,8902,649,5.7,0,5.1,1.9,15.48,7.18,20.59,6,Good
1507,29,Female,Bike,9,3,6.78,0,28.92,7450,480,4.3,2,5.7,0.3,21.24,5.54,26.99,8,Excellent
1523,29,Female,Car,4,3,8.1,0,54.82,8902,728,7.4,0,5.1,2.1,15.68,8.88,21.2,6,Good
1558,29,Female,Walking,7,1,7.66,1,47.2,15716,1118,6.7,2,0.1,1.2,13.92,9.32,19.78,6,Good
1566,29,Male,Walking,9,1,3.94,0,58.29,3102,449,8.4,2,3.7,2.5,18.72,8.92,24.41,7,Good
1576,29,Male,Car,0,3,6.59,0,31.66,4109,528,8,1,4.5,1.3,10.48,8.68,14.64,4,Need Improvements
